"model","node","fstat","pval","variable","tract"
"34",35,0.00019684044277606,0.988855925302106,"risk","rightAF"
"34",35,0.126941849656968,0.722963014817538,"mean_RMSt","rightAF"
"34",35,0,0,"Residuals","rightAF"
"35",36,0.00874607527459504,0.925823899050975,"risk","rightAF"
"35",36,0.0145941578142588,0.904276891561707,"mean_RMSt","rightAF"
"35",36,0,0,"Residuals","rightAF"
"36",37,0.0163977826134943,0.898565134994052,"risk","rightAF"
"36",37,0.0574320418957876,0.811476748541652,"mean_RMSt","rightAF"
"36",37,0,0,"Residuals","rightAF"
"37",38,0.00549544262082659,0.941170118306261,"risk","rightAF"
"37",38,0.306676671640105,0.581931287618615,"mean_RMSt","rightAF"
"37",38,0,0,"Residuals","rightAF"
"38",39,0.0282111961711393,0.86721839032479,"risk","rightAF"
"38",39,0.621621891295042,0.433770240487952,"mean_RMSt","rightAF"
"38",39,0,0,"Residuals","rightAF"
"39",40,0.128820816177784,0.721007517212042,"risk","rightAF"
"39",40,0.530638832001125,0.469373743527834,"mean_RMSt","rightAF"
"39",40,0,0,"Residuals","rightAF"
"4",5,2.64371051856247,0.109575563308941,"risk","rightAF"
"4",5,0.448473014214036,0.505812974633649,"mean_RMSt","rightAF"
"4",5,0,0,"Residuals","rightAF"
"40",41,0.232579749333766,0.631497247295624,"risk","rightAF"
"40",41,0.365013091160188,0.548175108137149,"mean_RMSt","rightAF"
"40",41,0,0,"Residuals","rightAF"
"41",42,0.218992665575944,0.641624751288509,"risk","rightAF"
"41",42,0.153082571039326,0.697091534651913,"mean_RMSt","rightAF"
"41",42,0,0,"Residuals","rightAF"
"42",43,0.205476298609143,0.652088005304858,"risk","rightAF"
"42",43,0.0717969448683177,0.789722690725031,"mean_RMSt","rightAF"
"42",43,0,0,"Residuals","rightAF"
"43",44,0.163200722924228,0.687765275850039,"risk","rightAF"
"43",44,0.13599856446195,0.713682441466356,"mean_RMSt","rightAF"
"43",44,0,0,"Residuals","rightAF"
"44",45,0.272762312947439,0.603544738134852,"risk","rightAF"
"44",45,0.14897195214793,0.700982220889845,"mean_RMSt","rightAF"
"44",45,0,0,"Residuals","rightAF"
"45",46,0.61471519854686,0.436321817319787,"risk","rightAF"
"45",46,0.0474951258518767,0.828272909519675,"mean_RMSt","rightAF"
"45",46,0,0,"Residuals","rightAF"
"46",47,0.567164780023353,0.454542282389678,"risk","rightAF"
"46",47,9.97675628076239e-06,0.997491030994228,"mean_RMSt","rightAF"
"46",47,0,0,"Residuals","rightAF"
"47",48,0.172144986643876,0.679797750256642,"risk","rightAF"
"47",48,0.00538615616611577,0.941756944292906,"mean_RMSt","rightAF"
"47",48,0,0,"Residuals","rightAF"
"48",49,0.0055662246419336,0.940793172552207,"risk","rightAF"
"48",49,0.0337971713324002,0.854802989915207,"mean_RMSt","rightAF"
"48",49,0,0,"Residuals","rightAF"
"49",50,0.407102381319213,0.526044506817747,"risk","rightAF"
"49",50,0.134446910050383,0.71524700028261,"mean_RMSt","rightAF"
"49",50,0,0,"Residuals","rightAF"
"5",6,2.18812406393989,0.144682242251878,"risk","rightAF"
"5",6,0.436579245705137,0.511487243747633,"mean_RMSt","rightAF"
"5",6,0,0,"Residuals","rightAF"
"50",51,1.76351216521004,0.18957451940554,"risk","rightAF"
"50",51,0.110623515102025,0.740677274577146,"mean_RMSt","rightAF"
"50",51,0,0,"Residuals","rightAF"
"51",52,2.85397703947481,0.0967090744718714,"risk","rightAF"
"51",52,0.00147870779808799,0.969462491597455,"mean_RMSt","rightAF"
"51",52,0,0,"Residuals","rightAF"
"52",53,2.37104086575328,0.129236634932158,"risk","rightAF"
"52",53,0.226791082923737,0.6357662941672,"mean_RMSt","rightAF"
"52",53,0,0,"Residuals","rightAF"
"53",54,1.59870351142605,0.21132426798869,"risk","rightAF"
"53",54,0.733817197999319,0.395299624078788,"mean_RMSt","rightAF"
"53",54,0,0,"Residuals","rightAF"
"54",55,0.864902878276369,0.356362086359395,"risk","rightAF"
"54",55,1.6775369980315,0.200566249984044,"mean_RMSt","rightAF"
"54",55,0,0,"Residuals","rightAF"
"55",56,0.55398167449254,0.459807295673808,"risk","rightAF"
"55",56,2.74124326403944,0.103382636075822,"mean_RMSt","rightAF"
"55",56,0,0,"Residuals","rightAF"
"56",57,0.502910850302516,0.481166055535259,"risk","rightAF"
"56",57,4.15425757528055,0.0462632334749703,"mean_RMSt","rightAF"
"56",57,0,0,"Residuals","rightAF"
"57",58,0.551194791467194,0.460932814353472,"risk","rightAF"
"57",58,5.04978251071401,0.0285878765325021,"mean_RMSt","rightAF"
"57",58,0,0,"Residuals","rightAF"
"58",59,0.296200519241256,0.588434789026706,"risk","rightAF"
"58",59,4.84139571944537,0.0319260783427918,"mean_RMSt","rightAF"
"58",59,0,0,"Residuals","rightAF"
"59",60,0.0461136661711521,0.83074940670948,"risk","rightAF"
"59",60,4.96296302430619,0.0299307653259501,"mean_RMSt","rightAF"
