".y.","group1","group2","effsize","node","tract","n1","n2","conf.low","conf.high","magnitude"
"pre","0","1",-0.101782043805208,25,"Right_ILF",27,56,-0.58,0.37,"negligible"
"pre","0","1",0.263252474269037,25,"Right_SLF",27,56,-0.22,0.73,"small"
"pre","0","1",-0.178617404079729,26,"Left_Arcuate",27,56,-0.68,0.33,"negligible"
"pre","0","1",0.548889516559329,26,"Left_IFOF",27,56,0.12,1.07,"moderate"
"pre","0","1",0.0249451295683142,26,"Left_ILF",27,56,-0.47,0.52,"negligible"
"pre","0","1",0.0676646336356472,26,"Left_SLF",27,56,-0.42,0.55,"negligible"
"pre","0","1",-0.0716964320306279,26,"Right_Arcuate",27,56,-0.64,0.44,"negligible"
"pre","0","1",0.497985860767874,26,"Right_IFOF",27,56,0.04,1,"small"
"pre","0","1",-0.094242359702389,26,"Right_ILF",27,56,-0.61,0.38,"negligible"
"pre","0","1",0.212200218517804,26,"Right_SLF",27,56,-0.26,0.69,"small"
"pre","0","1",-0.247598485308977,27,"Left_Arcuate",27,56,-0.76,0.28,"small"
"pre","0","1",0.49297348837493,27,"Left_IFOF",27,56,0.02,0.99,"small"
"pre","0","1",0.021813102621479,27,"Left_ILF",27,56,-0.49,0.51,"negligible"
"pre","0","1",0.0584423826374031,27,"Left_SLF",27,56,-0.42,0.58,"negligible"
"pre","0","1",0.0141757067895342,27,"Right_Arcuate",27,56,-0.54,0.5,"negligible"
"pre","0","1",0.518432505335149,27,"Right_IFOF",27,56,0.07,0.99,"moderate"
"pre","0","1",-0.0860564422670124,27,"Right_ILF",27,56,-0.56,0.37,"negligible"
"pre","0","1",0.157639375066182,27,"Right_SLF",27,56,-0.33,0.62,"negligible"
"pre","0","1",-0.240205313200022,28,"Left_Arcuate",27,56,-0.74,0.22,"small"
"pre","0","1",0.455355931500697,28,"Left_IFOF",27,56,-0.03,0.96,"small"
"pre","0","1",1.00122654449205e-05,28,"Left_ILF",27,56,-0.48,0.48,"negligible"
"pre","0","1",0.0314933188795981,28,"Left_SLF",27,56,-0.41,0.5,"negligible"
"pre","0","1",0.11278103007663,28,"Right_Arcuate",27,56,-0.41,0.61,"negligible"
